日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,600111,19.35,19.15,19.44,19.08,155918,300883819.0,1.87,-0.47,-0.09,0.43
2024-01-03,600111,19.06,19.08,19.2,18.89,177743,339697641.0,1.62,-0.37,-0.07,0.49
2024-01-04,600111,19.01,18.66,19.05,18.48,215509,404186286.0,2.99,-2.2,-0.42,0.6
2024-01-05,600111,18.66,18.37,18.88,18.28,197136,367906985.0,3.22,-1.55,-0.29,0.55
2024-01-08,600111,18.4,17.99,18.51,17.97,161802,295547742.0,2.94,-2.07,-0.38,0.45
2024-01-09,600111,17.99,18.17,18.3,17.88,147268,267931303.0,2.33,1.0,0.18,0.41
2024-01-10,600111,18.11,18.22,18.63,17.98,192238,353994003.0,3.58,0.28,0.05,0.53
2024-01-11,600111,18.17,18.45,18.63,18.08,191405,353238760.0,3.02,1.26,0.23,0.53
2024-01-12,600111,18.42,18.23,18.56,18.23,139103,256876155.0,1.79,-1.19,-0.22,0.38
2024-01-15,600111,18.28,17.95,18.3,17.95,139542,253298143.0,1.92,-1.54,-0.28,0.39
2024-01-16,600111,17.95,17.89,18.01,17.58,197364,352871184.0,2.4,-0.33,-0.06,0.55
2024-01-17,600111,17.78,17.4,17.84,17.4,183232,324115270.0,2.46,-2.74,-0.49,0.51
2024-01-18,600111,17.32,17.49,17.56,16.8,353043,607671689.0,4.37,0.52,0.09,0.98
2024-01-19,600111,17.35,17.51,17.75,17.3,199075,351554298.0,2.57,0.11,0.02,0.55
2024-01-22,600111,17.47,16.94,17.48,16.81,243508,421034254.0,3.83,-3.26,-0.57,0.67
2024-01-23,600111,16.93,17.13,17.28,16.72,203724,350206185.0,3.31,1.12,0.19,0.56
2024-01-24,600111,17.17,17.46,17.48,16.78,206145,355772760.0,4.09,1.93,0.33,0.57
2024-01-25,600111,17.45,17.88,17.97,17.39,260843,465617448.0,3.32,2.41,0.42,0.72
2024-01-26,600111,17.78,17.8,18.07,17.75,212728,382607754.0,1.79,-0.45,-0.08,0.59
2024-01-29,600111,17.88,17.68,18.0,17.66,174568,312526136.0,1.91,-0.67,-0.12,0.48
2024-01-30,600111,17.58,17.14,17.73,17.12,172138,301478741.0,3.45,-3.05,-0.54,0.48
2024-01-31,600111,17.01,16.78,17.29,16.76,212159,362037601.0,3.09,-2.1,-0.36,0.59
2024-02-01,600111,16.71,16.7,17.04,16.35,203693,342841035.0,4.11,-0.48,-0.08,0.56
2024-02-02,600111,16.72,16.16,16.88,15.5,304514,497572463.0,8.26,-3.23,-0.54,0.84
2024-02-05,600111,16.1,15.71,16.19,14.98,385050,604859289.0,7.49,-2.78,-0.45,1.07
2024-02-06,600111,15.65,17.29,17.29,15.6,547451,929474747.0,10.76,10.06,1.58,1.51
2024-02-07,600111,17.5,18.82,19.02,17.29,957894,1780114494.0,10.01,8.85,1.53,2.65
2024-02-08,600111,19.13,18.6,19.67,18.44,805316,1530161052.0,6.54,-1.17,-0.22,2.23
2024-02-19,600111,18.24,18.43,18.66,18.08,480368,889206821.0,3.12,-0.91,-0.17,1.33
2024-02-20,600111,18.4,18.24,18.4,18.05,326641,596945983.0,1.9,-1.03,-0.19,0.9
2024-02-21,600111,18.07,18.3,18.65,18.0,402898,744539192.0,3.56,0.33,0.06,1.11
2024-02-22,600111,18.18,18.55,18.55,18.13,347988,643383926.0,2.3,1.37,0.25,0.96
2024-02-23,600111,18.57,18.48,18.57,18.3,288461,534919996.0,1.46,-0.38,-0.07,0.8
2024-02-26,600111,18.48,18.43,18.7,18.39,288179,537265754.0,1.68,-0.27,-0.05,0.8
2024-02-27,600111,18.37,18.59,18.59,18.21,285721,528740946.0,2.06,0.87,0.16,0.79
2024-02-28,600111,18.64,18.35,19.35,18.33,595242,1132382350.0,5.49,-1.29,-0.24,1.65
2024-02-29,600111,18.24,18.75,18.75,18.18,361673,674078627.0,3.11,2.18,0.4,1.0
2024-03-01,600111,18.8,18.97,19.13,18.75,365426,696258786.0,2.03,1.17,0.22,1.01
2024-03-04,600111,19.0,18.82,19.24,18.76,308169,588059386.0,2.53,-0.79,-0.15,0.85
2024-03-05,600111,18.73,19.04,19.62,18.59,602073,1159777181.0,5.47,1.17,0.22,1.67
2024-03-06,600111,19.03,18.8,19.03,18.65,310222,586654002.0,2.0,-1.26,-0.24,0.86
2024-03-07,600111,18.89,19.49,20.2,18.81,1084543,2136277045.0,7.39,3.67,0.69,3.0
2024-03-08,600111,19.4,19.41,19.54,19.15,485509,943546083.0,2.0,-0.41,-0.08,1.34
2024-03-11,600111,19.42,19.71,19.88,19.41,479902,947113093.0,2.42,1.55,0.3,1.33
2024-03-12,600111,19.72,19.58,19.75,19.36,386273,757980564.0,1.98,-0.66,-0.13,1.07
2024-03-13,600111,19.6,19.48,19.8,19.41,348955,687551644.0,1.99,-0.51,-0.1,0.97
2024-03-14,600111,19.55,19.38,19.86,19.21,346819,682633271.0,3.34,-0.51,-0.1,0.96
2024-03-15,600111,19.22,19.8,19.86,19.03,526399,1032690619.0,4.28,2.17,0.42,1.46
2024-03-18,600111,19.78,19.99,20.1,19.61,440358,879215276.0,2.47,0.96,0.19,1.22
2024-03-19,600111,19.89,20.41,21.05,19.81,798346,1647393079.0,6.2,2.1,0.42,2.21
2024-03-20,600111,20.05,20.29,20.35,20.02,388465,787383803.0,1.62,-0.59,-0.12,1.07
2024-03-21,600111,20.42,20.16,20.52,20.1,285412,579967883.0,2.07,-0.64,-0.13,0.79
2024-03-22,600111,20.1,19.57,20.14,19.45,397227,785909088.0,3.42,-2.93,-0.59,1.1
2024-03-25,600111,19.41,19.42,19.85,19.4,284539,560360953.0,2.3,-0.77,-0.15,0.79
2024-03-26,600111,19.36,19.11,19.5,18.81,336632,645570003.0,3.55,-1.6,-0.31,0.93
2024-03-27,600111,19.13,18.63,19.2,18.6,214541,406565663.0,3.14,-2.51,-0.48,0.59
2024-03-28,600111,18.62,18.99,19.16,18.59,251172,478281567.0,3.06,1.93,0.36,0.69
2024-03-29,600111,18.99,19.27,19.47,18.99,235900,456302258.0,2.53,1.47,0.28,0.65
2024-04-01,600111,19.38,19.83,19.97,19.37,367411,730662479.0,3.11,2.91,0.56,1.02
2024-04-02,600111,19.81,20.05,20.18,19.73,377629,759711461.0,2.27,1.11,0.22,1.04
2024-04-03,600111,20.15,20.69,21.4,19.98,999132,2081520849.0,7.08,3.19,0.64,2.76
2024-04-08,600111,20.71,20.61,21.4,20.59,900145,1900452516.0,3.91,-0.39,-0.08,2.49
2024-04-09,600111,20.41,21.5,21.7,20.35,1127142,2399270441.0,6.55,4.32,0.89,3.12
2024-04-10,600111,21.3,20.6,21.3,20.38,791400,1648239083.0,4.28,-4.19,-0.9,2.19
2024-04-11,600111,20.54,20.31,20.78,20.06,459685,941182134.0,3.5,-1.41,-0.29,1.27
2024-04-12,600111,20.31,20.07,20.48,20.02,344929,699659374.0,2.26,-1.18,-0.24,0.95
2024-04-15,600111,19.95,20.19,20.38,19.4,461164,924769455.0,4.88,0.6,0.12,1.28
2024-04-16,600111,20.0,19.78,20.62,19.75,501606,1019938602.0,4.31,-2.03,-0.41,1.39
2024-04-17,600111,19.78,20.3,20.33,19.76,371354,748668886.0,2.88,2.63,0.52,1.03
2024-04-18,600111,20.21,20.16,20.4,19.95,309286,627968378.0,2.22,-0.69,-0.14,0.86
2024-04-19,600111,19.95,19.89,20.38,19.77,358561,721846430.0,3.03,-1.34,-0.27,0.99
