日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,300260,30.31,28.78,30.31,28.59,61732,180770606.0,5.67,-5.05,-1.53,2.22
2024-01-03,300260,28.62,28.24,29.25,27.98,43609,124717168.0,4.41,-1.88,-0.54,1.57
2024-01-04,300260,28.37,27.83,28.37,27.74,25262,70974612.0,2.23,-1.45,-0.41,0.91
2024-01-05,300260,27.99,26.92,28.07,26.74,48129,131753419.0,4.78,-3.27,-0.91,1.73
2024-01-08,300260,27.01,26.37,27.06,26.18,33319,88480667.0,3.27,-2.04,-0.55,1.2
2024-01-09,300260,26.42,26.28,26.84,25.9,39183,103492826.0,3.56,-0.34,-0.09,1.41
2024-01-10,300260,26.2,25.8,26.57,25.6,39147,102383268.0,3.69,-1.83,-0.48,1.41
2024-01-11,300260,26.28,27.42,27.76,26.28,105442,288098480.0,5.74,6.28,1.62,3.78
2024-01-12,300260,27.25,26.8,27.58,26.79,47610,129716390.0,2.88,-2.26,-0.62,1.71
2024-01-15,300260,26.93,26.39,27.08,26.2,40130,106842371.0,3.28,-1.53,-0.41,1.44
2024-01-16,300260,26.3,26.12,26.43,25.7,32316,84455408.0,2.77,-1.02,-0.27,1.16
2024-01-17,300260,26.03,25.16,26.25,25.13,46033,118253044.0,4.29,-3.68,-0.96,1.65
2024-01-18,300260,24.96,25.24,25.32,24.5,44212,110545419.0,3.26,0.32,0.08,1.59
2024-01-19,300260,25.15,24.93,26.33,24.93,59374,152016109.0,5.55,-1.23,-0.31,2.13
2024-01-22,300260,24.73,23.2,25.16,23.04,62258,149503713.0,8.5,-6.94,-1.73,2.23
2024-01-23,300260,22.9,23.41,23.6,22.9,53436,124999197.0,3.02,0.91,0.21,1.92
2024-01-24,300260,23.43,23.11,23.67,22.16,63979,146439080.0,6.45,-1.28,-0.3,2.3
2024-01-25,300260,23.12,23.26,23.5,22.74,76703,179027743.0,3.29,0.65,0.15,2.75
2024-01-26,300260,23.12,22.09,23.13,21.98,78537,177415060.0,4.94,-5.03,-1.17,2.82
2024-01-29,300260,22.29,21.89,22.62,21.88,69759,156086972.0,3.35,-0.91,-0.2,2.5
2024-01-30,300260,22.0,21.36,22.24,21.35,58796,128151844.0,4.07,-2.42,-0.53,2.11
2024-01-31,300260,20.88,20.52,21.65,20.52,53665,113420737.0,5.29,-3.93,-0.84,1.93
2024-02-01,300260,20.68,20.26,20.95,19.99,59212,121704850.0,4.68,-1.27,-0.26,2.13
2024-02-02,300260,20.35,19.0,20.57,18.4,108848,211182475.0,10.71,-6.22,-1.26,3.91
2024-02-05,300260,18.94,17.21,19.07,16.58,116981,206420434.0,13.11,-9.42,-1.79,4.2
2024-02-06,300260,16.43,18.56,18.93,16.43,126252,226200759.0,14.53,7.84,1.35,4.53
2024-02-07,300260,18.7,19.11,20.04,18.44,123600,240932334.0,8.62,2.96,0.55,4.44
2024-02-08,300260,19.11,20.47,20.83,18.98,126720,257555999.0,9.68,7.12,1.36,4.55
2024-02-19,300260,20.69,21.0,21.69,20.23,138644,293123158.0,7.13,2.59,0.53,4.98
2024-02-20,300260,21.05,21.24,21.35,20.39,73618,154682736.0,4.57,1.14,0.24,2.64
2024-02-21,300260,20.95,21.48,22.13,20.8,74507,161920034.0,6.26,1.13,0.24,2.67
2024-02-22,300260,21.38,22.64,22.67,21.38,93112,208549108.0,6.01,5.4,1.16,3.34
2024-02-23,300260,23.16,23.48,23.77,22.36,123754,285625213.0,6.23,3.71,0.84,4.44
2024-02-26,300260,23.22,24.2,24.79,22.91,131837,317811643.0,8.01,3.07,0.72,4.73
2024-02-27,300260,23.94,25.29,25.36,23.89,115654,286609749.0,6.07,4.5,1.09,4.15
2024-02-28,300260,25.71,23.19,25.84,23.16,137625,339977782.0,10.6,-8.3,-2.1,4.94
2024-02-29,300260,23.88,27.85,27.85,23.88,183306,498967159.0,17.12,20.09,4.66,6.58
2024-03-01,300260,29.58,28.45,30.38,27.69,401285,1166473226.0,9.66,2.15,0.6,14.4
2024-03-04,300260,27.43,27.88,28.08,26.68,234483,643094550.0,4.92,-2.0,-0.57,8.42
2024-03-05,300260,27.23,26.63,27.72,26.58,164278,446716092.0,4.09,-4.48,-1.25,5.9
2024-03-06,300260,26.1,26.64,27.05,25.43,149808,394552574.0,6.08,0.04,0.01,5.38
