日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,601899,11.61,11.69,11.86,11.59,1133169,1418264969.0,2.32,0.26,0.03,0.55
2024-01-03,601899,11.63,11.73,11.79,11.59,760491,951970406.0,1.71,0.34,0.04,0.37
2024-01-04,601899,11.63,11.71,11.72,11.59,998225,1242764335.0,1.11,-0.17,-0.02,0.49
2024-01-05,601899,11.66,11.67,11.88,11.57,1097527,1377692738.0,2.65,-0.34,-0.04,0.53
2024-01-08,601899,11.66,11.5,11.73,11.47,915816,1131732817.0,2.23,-1.46,-0.17,0.45
2024-01-09,601899,11.51,11.63,11.65,11.48,941798,1166609534.0,1.48,1.13,0.13,0.46
2024-01-10,601899,11.53,11.48,11.64,11.48,632628,780721482.0,1.38,-1.29,-0.15,0.31
2024-01-11,601899,11.51,11.34,11.52,11.29,967802,1179075752.0,2.0,-1.22,-0.14,0.47
2024-01-12,601899,11.27,11.4,11.46,11.25,764339,930414485.0,1.85,0.53,0.06,0.37
2024-01-15,601899,11.37,11.32,11.46,11.25,496326,603042874.0,1.84,-0.7,-0.08,0.24
2024-01-16,601899,11.26,11.39,11.47,11.26,804365,978561026.0,1.86,0.62,0.07,0.39
2024-01-17,601899,11.29,10.9,11.33,10.9,1407351,1671092719.0,3.78,-4.3,-0.49,0.69
2024-01-18,601899,10.86,11.04,11.14,10.6,1663791,1935251850.0,4.95,1.28,0.14,0.81
2024-01-19,601899,10.98,11.12,11.17,10.85,1237950,1468955722.0,2.9,0.72,0.08,0.6
2024-01-22,601899,11.08,10.88,11.14,10.75,1453550,1710510980.0,3.51,-2.16,-0.24,0.71
2024-01-23,601899,10.81,10.74,10.88,10.41,1694917,1940940579.0,4.32,-1.29,-0.14,0.83
2024-01-24,601899,10.82,10.92,10.95,10.63,1059408,1229718058.0,2.98,1.68,0.18,0.52
2024-01-25,601899,11.02,11.25,11.25,10.99,1274823,1522375802.0,2.38,3.02,0.33,0.62
2024-01-26,601899,11.3,11.42,11.48,11.18,1245210,1516091358.0,2.67,1.51,0.17,0.61
2024-01-29,601899,11.43,11.44,11.55,11.4,847536,1040554942.0,1.31,0.18,0.02,0.41
2024-01-30,601899,11.38,11.38,11.5,11.26,1063557,1296846927.0,2.1,-0.52,-0.06,0.52
2024-01-31,601899,11.32,11.24,11.43,11.23,1098979,1333498982.0,1.76,-1.23,-0.14,0.54
2024-02-01,601899,11.2,11.33,11.47,11.1,1084095,1313469936.0,3.29,0.8,0.09,0.53
2024-02-02,601899,11.4,11.23,11.54,11.08,1390103,1693724843.0,4.06,-0.88,-0.1,0.68
2024-02-05,601899,11.27,11.36,11.48,11.16,1710760,2074493835.0,2.85,1.16,0.13,0.83
2024-02-06,601899,11.33,11.39,11.58,11.24,2020938,2464896610.0,2.99,0.26,0.03,0.98
2024-02-07,601899,11.39,11.45,11.5,11.24,2158070,2628884527.0,2.28,0.53,0.06,1.05
2024-02-08,601899,11.44,11.7,11.72,11.42,1911093,2365281337.0,2.62,2.18,0.25,0.93
2024-02-19,601899,11.71,12.05,12.06,11.6,1886546,2393625732.0,3.93,2.99,0.35,0.92
2024-02-20,601899,12.0,12.3,12.38,11.92,1370783,1790347206.0,3.82,2.07,0.25,0.67
2024-02-21,601899,12.26,12.25,12.49,12.21,1539870,2029310533.0,2.28,-0.41,-0.05,0.75
2024-02-22,601899,12.29,12.46,12.48,12.22,1127400,1484391737.0,2.12,1.71,0.21,0.55
2024-02-23,601899,12.45,12.7,12.88,12.4,1377261,1857150077.0,3.85,1.93,0.24,0.67
2024-02-26,601899,12.71,12.35,12.81,12.29,1460045,1940973998.0,4.09,-2.76,-0.35,0.71
2024-02-27,601899,12.26,12.36,12.47,12.2,1364914,1791457395.0,2.19,0.08,0.01,0.66
2024-02-28,601899,12.36,12.21,12.37,12.17,1093358,1429626558.0,1.62,-1.21,-0.15,0.53
2024-02-29,601899,12.22,12.31,12.4,12.16,1081241,1410959457.0,1.97,0.82,0.1,0.53
2024-03-01,601899,12.26,12.45,12.56,12.2,1178467,1552005622.0,2.92,1.14,0.14,0.57
2024-03-04,601899,12.66,12.66,12.82,12.56,1314001,1769842794.0,2.09,1.69,0.21,0.64
2024-03-05,601899,12.8,13.05,13.17,12.79,1960877,2710355633.0,3.0,3.08,0.39,0.95
2024-03-06,601899,13.05,13.4,13.56,13.04,2017877,2854602325.0,3.98,2.68,0.35,0.98
2024-03-07,601899,13.58,13.93,14.16,13.47,2374936,3490560849.0,5.15,3.96,0.53,1.16
2024-03-08,601899,14.1,14.09,14.13,13.73,1692350,2495033636.0,2.87,1.15,0.16,0.82
2024-03-11,601899,14.2,14.06,14.25,13.82,1536663,2272630522.0,3.05,-0.21,-0.03,0.75
2024-03-12,601899,13.95,13.56,14.02,13.48,2042754,2953248652.0,3.84,-3.56,-0.5,0.99
2024-03-13,601899,13.45,13.89,13.96,13.38,1454520,2110554047.0,4.28,2.43,0.33,0.71
2024-03-14,601899,14.45,14.59,14.98,14.45,2719175,4216534925.0,3.82,5.04,0.7,1.32
2024-03-15,601899,14.52,15.16,15.32,14.5,2233163,3509902917.0,5.62,3.91,0.57,1.09
2024-03-18,601899,15.17,14.98,15.36,14.78,2303297,3633999462.0,3.83,-1.19,-0.18,1.12
2024-03-19,601899,14.9,14.73,15.13,14.7,1618999,2543787075.0,2.87,-1.67,-0.25,0.79
2024-03-20,601899,14.55,14.71,14.81,14.4,1771101,2723258799.0,2.78,-0.14,-0.02,0.86
2024-03-21,601899,15.11,14.82,15.33,14.8,1996237,3151230650.0,3.6,0.75,0.11,0.97
2024-03-22,601899,14.59,14.59,14.72,14.37,1771121,2717488083.0,2.36,-1.55,-0.23,0.86
2024-03-25,601899,14.58,14.94,15.06,14.51,1645276,2580594446.0,3.77,2.4,0.35,0.8
2024-03-26,601899,14.97,14.73,15.02,14.53,1327979,2057986264.0,3.28,-1.41,-0.21,0.65
2024-03-27,601899,14.66,14.92,15.09,14.64,1561422,2459520729.0,3.05,1.29,0.19,0.76
2024-03-28,601899,14.85,15.3,15.38,14.73,1888689,3013540981.0,4.36,2.55,0.38,0.92
2024-03-29,601899,15.6,16.02,16.07,15.5,2095645,3491214365.0,3.73,4.71,0.72,1.02
2024-04-01,601899,16.44,16.07,16.59,15.89,2076141,3527137250.0,4.37,0.31,0.05,1.01
2024-04-02,601899,16.15,16.15,16.35,15.96,1337639,2265617998.0,2.43,0.5,0.08,0.65
2024-04-03,601899,16.39,16.71,16.85,16.18,2380869,4121388638.0,4.15,3.47,0.56,1.16
2024-04-08,601899,16.85,16.5,17.37,16.43,3127119,5555680584.0,5.63,-1.26,-0.21,1.52
2024-04-09,601899,16.42,16.21,16.6,16.13,2015836,3447848187.0,2.85,-1.76,-0.29,0.98
2024-04-10,601899,16.34,17.19,17.35,16.34,2642699,4685400744.0,6.23,6.05,0.98,1.29
2024-04-11,601899,16.72,17.19,17.72,16.69,2565766,4620626247.0,5.99,0.0,0.0,1.25
2024-04-12,601899,17.68,17.59,17.78,17.18,2337819,4289461428.0,3.49,2.33,0.4,1.14
2024-04-15,601899,17.0,17.66,17.76,16.98,2385956,4327726049.0,4.43,0.4,0.07,1.16
2024-04-16,601899,17.66,17.14,17.83,17.09,2082205,3791491593.0,4.19,-2.94,-0.52,1.01
2024-04-17,601899,17.11,17.28,17.35,16.78,2154280,3853775926.0,3.33,0.82,0.14,1.05
2024-04-18,601899,17.11,17.67,17.74,17.06,2005974,3665579379.0,3.94,2.26,0.39,0.98
2024-04-19,601899,17.76,17.83,18.53,17.6,2653119,4990039164.0,5.26,0.91,0.16,1.29
2024-04-22,601899,18.07,17.0,18.2,16.95,2677304,4889599625.0,7.01,-4.66,-0.83,1.3
2024-04-23,601899,16.61,16.24,16.85,16.2,3201000,5522404560.0,3.82,-4.47,-0.76,1.56
2024-04-24,601899,16.24,16.74,16.79,16.24,2113743,3671334960.0,3.39,3.08,0.5,1.03
2024-04-25,601899,16.53,16.6,16.76,16.29,1429510,2475547327.0,2.81,-0.84,-0.14,0.7
