日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,688122,51.95,52.65,53.73,51.81,66349,360817277.0,3.71,1.68,0.87,1.02
2024-01-03,688122,53.05,52.55,53.2,51.61,45011,242159910.0,3.02,-0.19,-0.1,0.69
2024-01-04,688122,52.35,51.38,53.03,51.32,44320,236964512.0,3.25,-2.23,-1.17,0.68
2024-01-05,688122,51.15,48.31,51.51,47.91,92241,464948389.0,7.01,-5.98,-3.07,1.42
2024-01-08,688122,48.05,45.28,48.33,45.05,81525,386757097.0,6.79,-6.27,-3.03,1.25
2024-01-09,688122,45.45,43.91,45.7,43.64,71942,329708946.0,4.55,-3.03,-1.37,1.11
2024-01-10,688122,44.0,43.64,44.75,43.38,44315,201382487.0,3.12,-0.61,-0.27,0.68
2024-01-11,688122,43.5,44.15,44.53,43.45,33741,153265060.0,2.47,1.17,0.51,0.52
2024-01-12,688122,44.2,42.4,44.42,41.57,87709,386973341.0,6.46,-3.96,-1.75,1.35
2024-01-15,688122,42.38,39.35,42.38,38.87,129227,533306896.0,8.28,-7.19,-3.05,1.99
2024-01-16,688122,39.2,39.45,40.33,39.01,85386,351135488.0,3.35,0.25,0.1,1.31
2024-01-17,688122,39.42,37.36,39.44,37.36,90158,355590156.0,5.27,-5.3,-2.09,1.39
2024-01-18,688122,37.33,37.62,37.73,36.54,70994,272932771.0,3.19,0.7,0.26,1.09
2024-01-19,688122,37.53,37.48,38.33,37.25,61343,240412014.0,2.87,-0.37,-0.14,0.94
2024-01-22,688122,37.55,36.28,37.86,35.83,63783,244459425.0,5.42,-3.2,-1.2,0.98
2024-01-23,688122,35.73,36.35,36.62,35.36,50967,191328701.0,3.47,0.19,0.07,0.78
2024-01-24,688122,36.53,36.77,36.92,35.43,48105,181533186.0,4.1,1.16,0.42,0.74
2024-01-25,688122,36.75,38.36,38.75,36.55,63028,247851629.0,5.98,4.32,1.59,0.97
2024-01-26,688122,38.3,37.36,38.73,37.24,48436,191147033.0,3.88,-2.61,-1.0,0.75
2024-01-29,688122,37.37,36.55,38.29,36.46,55406,214108409.0,4.9,-2.17,-0.81,0.85
2024-01-30,688122,36.43,34.79,36.78,34.72,56562,209713729.0,5.64,-4.82,-1.76,0.87
2024-01-31,688122,35.05,34.0,35.25,33.75,56488,202423192.0,4.31,-2.27,-0.79,0.87
2024-02-01,688122,33.97,34.05,35.0,33.46,43232,154556726.0,4.53,0.15,0.05,0.67
2024-02-02,688122,34.15,32.71,34.62,31.57,63778,220261272.0,8.96,-3.94,-1.34,0.98
2024-02-05,688122,32.81,33.28,33.68,29.9,88851,296593260.0,11.56,1.74,0.57,1.37
2024-02-06,688122,33.51,36.05,36.25,31.77,90164,325319419.0,13.46,8.32,2.77,1.39
2024-02-07,688122,36.34,39.03,39.44,36.14,128319,509500921.0,9.15,8.27,2.98,1.98
2024-02-08,688122,39.71,40.43,42.13,38.96,100801,428153279.0,8.12,3.59,1.4,1.55
2024-02-19,688122,41.27,38.14,41.27,37.64,99100,396735631.0,8.98,-5.66,-2.29,1.53
2024-02-20,688122,38.05,38.04,38.41,37.49,45951,181298264.0,2.41,-0.26,-0.1,0.71
2024-02-21,688122,37.91,37.87,39.03,37.49,59195,235418860.0,4.05,-0.45,-0.17,0.91
2024-02-22,688122,37.68,38.05,38.18,37.38,64812,253856785.0,2.11,0.48,0.18,1.0
2024-02-23,688122,38.05,37.88,38.05,37.21,75381,294110403.0,2.21,-0.45,-0.17,1.16
2024-02-26,688122,37.58,38.0,38.65,37.05,77970,306092039.0,4.22,0.32,0.12,1.2
2024-02-27,688122,37.57,38.89,38.94,37.41,80146,317209242.0,4.03,2.34,0.89,1.23
2024-02-28,688122,38.83,37.6,39.83,37.53,92471,372535654.0,5.91,-3.32,-1.29,1.42
2024-02-29,688122,37.53,38.57,38.63,37.4,87557,345645171.0,3.27,2.58,0.97,1.35
2024-03-01,688122,38.64,39.31,39.5,38.15,82517,331774430.0,3.5,1.92,0.74,1.27
2024-03-04,688122,39.53,38.81,40.12,38.08,75806,305561352.0,5.19,-1.27,-0.5,1.17
2024-03-05,688122,38.05,38.66,39.3,37.8,81796,328185228.0,3.86,-0.39,-0.15,1.26
2024-03-06,688122,38.66,39.03,40.06,38.05,83801,340054631.0,5.2,0.96,0.37,1.29
2024-03-07,688122,39.08,38.14,39.42,38.14,59380,238872082.0,3.28,-2.28,-0.89,0.91
2024-03-08,688122,38.03,37.54,38.37,36.76,80125,310746639.0,4.22,-1.57,-0.6,1.23
2024-03-11,688122,37.37,38.6,38.84,37.32,79136,313269822.0,4.05,2.82,1.06,1.22
2024-03-12,688122,39.39,39.04,39.91,38.71,87920,357755823.0,3.11,1.14,0.44,1.35
2024-03-13,688122,39.21,38.85,39.83,38.78,93933,382686456.0,2.69,-0.49,-0.19,1.45
2024-03-14,688122,38.51,37.7,38.66,37.38,71911,283829608.0,3.29,-2.96,-1.15,1.11
2024-03-15,688122,37.6,38.48,38.5,37.51,63731,251461408.0,2.63,2.07,0.78,0.98
2024-03-18,688122,38.5,39.15,39.35,38.26,86235,346841307.0,2.83,1.74,0.67,1.33
2024-03-19,688122,39.2,38.89,40.12,38.8,82614,337132219.0,3.37,-0.66,-0.26,1.27
2024-03-20,688122,38.93,38.8,39.19,38.2,62226,249861817.0,2.55,-0.23,-0.09,0.96
2024-03-21,688122,38.81,38.55,39.18,38.01,60742,243250731.0,3.02,-0.64,-0.25,0.93
2024-03-22,688122,38.55,37.44,38.55,37.4,62919,246201066.0,2.98,-2.88,-1.11,0.97
2024-03-25,688122,37.37,36.25,37.37,36.25,71605,272905832.0,2.99,-3.18,-1.19,1.1
2024-03-26,688122,36.26,35.92,36.45,35.31,63128,235197416.0,3.14,-0.91,-0.33,0.97
2024-03-27,688122,35.85,34.59,36.02,34.55,55737,203972499.0,4.09,-3.7,-1.33,0.86
2024-03-28,688122,34.75,35.75,36.0,34.55,62504,230854660.0,4.19,3.35,1.16,0.96
2024-03-29,688122,35.55,35.37,35.8,34.79,52645,192952072.0,2.83,-1.06,-0.38,0.81
2024-04-01,688122,35.62,37.08,37.34,35.61,67829,259633707.0,4.89,4.83,1.71,1.04
2024-04-02,688122,37.14,37.4,37.7,36.37,59249,228492290.0,3.59,0.86,0.32,0.91
2024-04-03,688122,37.34,37.55,38.41,37.07,75189,293773979.0,3.58,0.4,0.15,1.16
2024-04-08,688122,37.54,36.15,37.54,36.07,57993,220368313.0,3.91,-3.73,-1.4,0.89
2024-04-09,688122,36.47,36.95,37.28,36.25,33128,126701318.0,2.85,2.21,0.8,0.51
2024-04-10,688122,36.85,36.85,37.17,36.11,42858,163249755.0,2.87,-0.27,-0.1,0.66
2024-04-11,688122,36.67,36.85,37.36,36.39,32544,124904204.0,2.63,0.0,0.0,0.5
2024-04-12,688122,36.66,36.37,37.13,36.37,35881,137116789.0,2.06,-1.3,-0.48,0.55
2024-04-15,688122,36.35,36.39,37.01,35.75,40897,155045454.0,3.46,0.05,0.02,0.63
2024-04-16,688122,36.17,34.8,36.67,34.74,55822,206446311.0,5.3,-4.37,-1.59,0.86
2024-04-17,688122,35.15,35.77,36.05,34.85,59920,221392392.0,3.45,2.79,0.97,0.92
2024-04-18,688122,35.56,36.85,37.11,35.26,53351,202166228.0,5.17,3.02,1.08,0.82
2024-04-19,688122,36.75,37.5,38.06,36.47,67306,261055669.0,4.31,1.76,0.65,1.04
2024-04-22,688122,37.75,38.25,38.91,37.15,97121,384927326.0,4.69,2.0,0.75,1.49
2024-04-23,688122,38.1,36.92,38.1,36.69,69048,266808958.0,3.69,-3.48,-1.33,1.06
2024-04-24,688122,37.11,37.16,37.2,36.29,53069,202458785.0,2.46,0.65,0.24,0.82
2024-04-25,688122,37.03,36.41,37.32,36.31,45290,172036528.0,2.72,-2.02,-0.75,0.7
2024-04-26,688122,36.39,36.89,37.34,35.85,96397,366885897.0,4.09,1.32,0.48,1.48
2024-04-29,688122,36.93,37.45,38.39,36.73,113144,442460035.0,4.5,1.52,0.56,1.74
2024-04-30,688122,37.05,38.2,38.9,35.8,160239,628884568.0,8.28,2.0,0.75,2.47
2024-05-06,688122,38.41,38.08,39.21,37.9,119460,475880702.0,3.43,-0.31,-0.12,1.84
2024-05-07,688122,38.05,39.42,39.71,37.8,123968,502433016.0,5.02,3.52,1.34,1.91
2024-05-08,688122,39.36,38.86,39.36,38.56,60503,243800435.0,2.03,-1.42,-0.56,0.93
2024-05-09,688122,38.8,41.64,41.83,38.74,154956,655904363.0,7.95,7.15,2.78,2.39
2024-05-10,688122,41.75,41.67,42.7,41.67,108808,473601072.0,2.47,0.07,0.03,1.67
